p1choice,p2choice,p1_win_cards,p2_win_cards,draw_cards,p1_win_tricks,p2_win_tricks,draw_tricks,times_run
RRR,BRR,81,9025905,41,10046,8979694,36287,9026027
RRR,RBR,2500254,6379886,145887,1908991,6002511,1114525,9026027
RRR,RRB,4256451,4589025,180551,3647687,3983896,1394444,9026027
RRR,BBR,85519,8916994,23514,75363,8730379,220285,9026027
RRR,BRB,2274065,6559774,192188,1512482,6268193,1245352,9026027
RRR,RBB,1587757,7257629,180641,1015601,6946790,1063636,9026027
RRR,BBB,4380255,4384979,260793,2933165,2935620,3157242,9026027
BRR,RRR,9025905,81,41,8979694,10046,36287,9026027
BRR,RBR,5038450,3791529,196048,3989265,3822578,1214184,9026027
BRR,RRB,9004505,17163,4359,8441986,236383,347658,9026027
BRR,BBR,323639,8626704,75684,467871,7967458,590698,9026027
BRR,BRB,4385099,4382427,258501,3898379,3894352,1233296,9026027
BRR,RBB,4384312,4382960,258755,3897355,3892924,1235748,9026027
BRR,BBB,7257256,1588363,180408,6944989,1016506,1064532,9026027
RBR,RRR,6379886,2500254,145887,6002511,1908991,1114525,9026027
RBR,BRR,3791529,5038450,196048,3822578,3989265,1214184,9026027
RBR,RRB,1117598,7790513,117916,1049598,7228901,747528,9026027
RBR,BBR,616755,8283899,125373,1022462,7151569,851996,9026027
RBR,BRB,4406102,4403915,216010,3666790,3664652,1694585,9026027
RBR,RBB,4384901,4382711,258415,3898874,3893837,1233316,9026027
RBR,BBB,6558811,2274559,192657,6267921,1513361,1244745,9026027
RRB,RRR,4589025,4256451,180551,3983896,3647687,1394444,9026027
RRB,BRR,17163,9004505,4359,236383,8441986,347658,9026027
RRB,RBR,7790513,1117598,117916,7228901,1049598,747528,9026027
RRB,BBR,4312940,4313065,400022,3695588,3696132,1634307,9026027
RRB,BRB,8283980,616562,125485,7151327,1022143,852557,9026027
RRB,RBB,8626388,324078,75561,7969237,467535,589255,9026027
RRB,BBB,8917717,84819,23491,8730775,75161,220091,9026027
BBR,RRR,8916994,85519,23514,8730379,75363,220285,9026027
BBR,BRR,8626704,323639,75684,7967458,467871,590698,9026027
BBR,RBR,8283899,616755,125373,7151569,1022462,851996,9026027
BBR,RRB,4313065,4312940,400022,3696132,3695588,1634307,9026027
BBR,BRB,7791291,1115817,118919,7229449,1048701,747877,9026027
BBR,RBB,17175,9004428,4424,237088,8442292,346647,9026027
BBR,BBB,4587600,4258847,179580,3982443,3650279,1393305,9026027
BRB,RRR,6559774,2274065,192188,6268193,1512482,1245352,9026027
BRB,BRR,4382427,4385099,258501,3894352,3898379,1233296,9026027
BRB,RBR,4403915,4406102,216010,3664652,3666790,1694585,9026027
BRB,RRB,616562,8283980,125485,1022143,7151327,852557,9026027
BRB,BBR,1115817,7791291,118919,1048701,7229449,747877,9026027
BRB,RBB,3792979,5036990,196058,3823582,3989720,1212725,9026027
BRB,BBB,6379719,2499747,146561,6001948,1909346,1114733,9026027
RBB,RRR,7257629,1587757,180641,6946790,1015601,1063636,9026027
RBB,BRR,4382960,4384312,258755,3892924,3897355,1235748,9026027
RBB,RBR,4382711,4384901,258415,3893837,3898874,1233316,9026027
RBB,RRB,324078,8626388,75561,467535,7969237,589255,9026027
RBB,BBR,9004428,17175,4424,8442292,237088,346647,9026027
RBB,BRB,5036990,3792979,196058,3989720,3823582,1212725,9026027
RBB,BBB,9025891,96,40,8979510,10190,36327,9026027
BBB,RRR,4384979,4380255,260793,2935620,2933165,3157242,9026027
BBB,BRR,1588363,7257256,180408,1016506,6944989,1064532,9026027
BBB,RBR,2274559,6558811,192657,1513361,6267921,1244745,9026027
BBB,RRB,84819,8917717,23491,75161,8730775,220091,9026027
BBB,BBR,4258847,4587600,179580,3650279,3982443,1393305,9026027
BBB,BRB,2499747,6379719,146561,1909346,6001948,1114733,9026027
BBB,RBB,96,9025891,40,10190,8979510,36327,9026027
