num_decks,random_seed,method,storage_bytes,memory_bytes,time_taken
1000,441,method_1_funct,8613,52000,0.022706
1000,441,method_2_funct,21247,8000,0.012040
1000,442,method_1_funct,8613,52000,0.020721
1000,442,method_2_funct,21277,8000,0.012234
1000,443,method_1_funct,8590,52000,0.020698
1000,443,method_2_funct,21288,8000,0.012223
1000,444,method_1_funct,8599,52000,0.020348
1000,444,method_2_funct,21271,8000,0.010028
1000,445,method_1_funct,8580,52000,0.020051
1000,445,method_2_funct,21236,8000,0.010027
1000,446,method_1_funct,8597,52000,0.018051
1000,446,method_2_funct,21251,8000,0.014083
1000,447,method_1_funct,8558,52000,0.020870
1000,447,method_2_funct,21280,8000,0.010036
1000,448,method_1_funct,8595,52000,0.022228
1000,448,method_2_funct,21252,8000,0.014053
1000,449,method_1_funct,8577,52000,0.020055
1000,449,method_2_funct,21271,8000,0.011534
1000,450,method_1_funct,8600,52000,0.018310
1000,450,method_2_funct,21252,8000,0.016218
1000,451,method_1_funct,8578,52000,0.020426
1000,451,method_2_funct,21287,8000,0.012163
1000,452,method_1_funct,8586,52000,0.020445
1000,452,method_2_funct,21247,8000,0.012815
1000,453,method_1_funct,8613,52000,0.020610
1000,453,method_2_funct,21253,8000,0.012271
1000,454,method_1_funct,8603,52000,0.020386
1000,454,method_2_funct,21274,8000,0.008237
1000,455,method_1_funct,8595,52000,0.020346
1000,455,method_2_funct,21286,8000,0.012068
1000,456,method_1_funct,8597,52000,0.016869
1000,456,method_2_funct,21288,8000,0.008435
1000,457,method_1_funct,8593,52000,0.021018
1000,457,method_2_funct,21244,8000,0.012505
1000,458,method_1_funct,8583,52000,0.020771
1000,458,method_2_funct,21321,8000,0.012331
1000,459,method_1_funct,8588,52000,0.020522
1000,459,method_2_funct,21260,8000,0.012127
1000,460,method_1_funct,8621,52000,0.020344
1000,460,method_2_funct,21234,8000,0.012292
1000,461,method_1_funct,8601,52000,0.020338
1000,461,method_2_funct,21274,8000,0.012514
1000,462,method_1_funct,8598,52000,0.020489
1000,462,method_2_funct,21235,8000,0.029799
1000,463,method_1_funct,8594,52000,0.020859
1000,463,method_2_funct,21285,8000,0.014119
1000,464,method_1_funct,8601,52000,0.018074
1000,464,method_2_funct,21276,8000,0.010028
1000,465,method_1_funct,8567,52000,0.018044
1000,465,method_2_funct,21277,8000,0.012033
1000,466,method_1_funct,8595,52000,0.022099
1000,466,method_2_funct,21250,8000,0.012038
1000,467,method_1_funct,8601,52000,0.020052
1000,467,method_2_funct,21271,8000,0.012032
1000,468,method_1_funct,8584,52000,0.020050
1000,468,method_2_funct,21249,8000,0.010029
1000,469,method_1_funct,8594,52000,0.020048
1000,469,method_2_funct,21262,8000,0.012032
1000,470,method_1_funct,8603,52000,0.019051
1000,470,method_2_funct,21271,8000,0.009027
10000,471,method_1_funct,82886,520000,0.191489
10000,471,method_2_funct,203434,80000,0.097914
10000,472,method_1_funct,82823,520000,0.187636
10000,472,method_2_funct,203607,80000,0.102345
10000,473,method_1_funct,82868,520000,0.188033
10000,473,method_2_funct,203468,80000,0.101698
10000,474,method_1_funct,82887,520000,0.191579
10000,474,method_2_funct,203554,80000,0.106692
10000,475,method_1_funct,82973,520000,0.183834
10000,475,method_2_funct,203545,80000,0.101552
10000,476,method_1_funct,82860,520000,0.191504
10000,476,method_2_funct,203491,80000,0.097951
10000,477,method_1_funct,82832,520000,0.184448
10000,477,method_2_funct,203562,80000,0.098083
10000,478,method_1_funct,82822,520000,0.187885
10000,478,method_2_funct,203539,80000,0.100647
10000,479,method_1_funct,82962,520000,0.189617
10000,479,method_2_funct,203547,80000,0.102144
10000,480,method_1_funct,82929,520000,0.186397
10000,480,method_2_funct,203625,80000,0.102173
10000,481,method_1_funct,82793,520000,0.186170
10000,481,method_2_funct,203570,80000,0.101947
10000,482,method_1_funct,82880,520000,0.197335
10000,482,method_2_funct,203543,80000,0.102280
