p1choice,p2choice,p1_win_cards,p2_win_cards,draw_cards,p1_win_tricks,p2_win_tricks,draw_tricks,times_run
RRR,BRR,81,9009878,41,10014,8963795,36191,9010000
RRR,RBR,2495832,6368521,145647,1905371,5992105,1112524,9010000
RRR,RRB,4249030,4580852,180118,3641180,3976844,1391976,9010000
RRR,BBR,85342,8901176,23482,75299,8714720,219981,9010000
RRR,BRB,2270284,6547864,191852,1510257,6257068,1242675,9010000
RRR,RBB,1585047,7244712,180241,1014095,6934273,1061632,9010000
RRR,BBB,4372287,4377368,260345,2927939,2930766,3151295,9010000
BRR,RRR,9009878,81,41,8963795,10014,36191,9010000
BRR,RBR,5029302,3785114,195584,3982374,3815939,1211687,9010000
BRR,RRB,8988542,17115,4343,8427035,235868,347097,9010000
BRR,BBR,323127,8611350,75523,467358,7953084,589558,9010000
BRR,BRB,4377329,4374682,257989,3891555,3887140,1231305,9010000
BRR,RBB,4376574,4375071,258355,3890432,3885854,1233714,9010000
BRR,BBB,7243986,1585862,180152,6932469,1014793,1062738,9010000
RBR,RRR,6368521,2495832,145647,5992105,1905371,1112524,9010000
RBR,BRR,3785114,5029302,195584,3815939,3982374,1211687,9010000
RBR,RRB,1115530,7776635,117835,1047498,7216144,746358,9010000
RBR,BBR,615728,8269187,125085,1020810,7138941,850249,9010000
RBR,BRB,4397979,4396540,215481,3660239,3658671,1691090,9010000
RBR,RBB,4377158,4374829,258013,3891743,3886851,1231406,9010000
RBR,BBB,6547207,2270552,192241,6256683,1510813,1242504,9010000
RRB,RRR,4580852,4249030,180118,3976844,3641180,1391976,9010000
RRB,BRR,17115,8988542,4343,235868,8427035,347097,9010000
RRB,RBR,7776635,1115530,117835,7216144,1047498,746358,9010000
RRB,BBR,4305389,4305389,399222,3689528,3689225,1631247,9010000
RRB,BRB,8269176,615580,125244,7138668,1020392,850940,9010000
RRB,RBB,8610971,323628,75401,7954956,466813,588231,9010000
RRB,BBB,8901818,84723,23459,8715148,75113,219739,9010000
BBR,RRR,8901176,85342,23482,8714720,75299,219981,9010000
BBR,BRR,8611350,323127,75523,7953084,467358,589558,9010000
BBR,RBR,8269187,615728,125085,7138941,1020810,850249,9010000
BBR,RRB,4305389,4305389,399222,3689225,3689528,1631247,9010000
BBR,BRB,7777621,1113764,118615,7216742,1046809,746449,9010000
BBR,RBB,17159,8988417,4424,236591,8427451,345958,9010000
BBR,BBB,4578881,4251956,179163,3975055,3644171,1390774,9010000
BRB,RRR,6547864,2270284,191852,6257068,1510257,1242675,9010000
BRB,BRR,4374682,4377329,257989,3887140,3891555,1231305,9010000
BRB,RBR,4396540,4397979,215481,3658671,3660239,1691090,9010000
BRB,RRB,615580,8269176,125244,1020392,7138668,850940,9010000
BRB,BBR,1113764,7777621,118615,1046809,7216742,746449,9010000
BRB,RBB,3785945,5028239,195816,3816322,3982960,1210718,9010000
BRB,BBB,6368370,2495374,146256,5990873,1906061,1113066,9010000
RBB,RRR,7244712,1585047,180241,6934273,1014095,1061632,9010000
RBB,BRR,4375071,4376574,258355,3885854,3890432,1233714,9010000
RBB,RBR,4374829,4377158,258013,3886851,3891743,1231406,9010000
RBB,RRB,323628,8610971,75401,466813,7954956,588231,9010000
RBB,BBR,8988417,17159,4424,8427451,236591,345958,9010000
RBB,BRB,5028239,3785945,195816,3982960,3816322,1210718,9010000
RBB,BBB,9009864,96,40,8963531,10190,36279,9010000
BBB,RRR,4377368,4372287,260345,2930766,2927939,3151295,9010000
BBB,BRR,1585862,7243986,180152,1014793,6932469,1062738,9010000
BBB,RBR,2270552,6547207,192241,1510813,6256683,1242504,9010000
BBB,RRB,84723,8901818,23459,75113,8715148,219739,9010000
BBB,BBR,4251956,4578881,179163,3644171,3975055,1390774,9010000
BBB,BRB,2495374,6368370,146256,1906061,5990873,1113066,9010000
BBB,RBB,96,9009864,40,10190,8963531,36279,9010000
