p1choice,p2choice,p1_win_cards,p2_win_cards,draw_cards,p1_win_tricks,p2_win_tricks,draw_tricks,times_run
RRR,BRR,81,9012878,41,10020,8966771,36209,9013000
RRR,RBR,2496660,6370648,145692,1906049,5994052,1112899,9013000
RRR,RRB,4250419,4582382,180199,3642398,3978164,1392438,9013000
RRR,BBR,85375,8904137,23488,75311,8717651,220038,9013000
RRR,BRB,2270992,6550093,191915,1510674,6259150,1243176,9013000
RRR,RBB,1585554,7247130,180316,1014377,6936616,1062007,9013000
RRR,BBB,4373778,4378793,260429,2928917,2931675,3152408,9013000
BRR,RRR,9012878,81,41,8966771,10020,36209,9013000
BRR,RBR,5031015,3786314,195671,3983664,3817181,1212155,9013000
BRR,RRB,8991530,17124,4346,8429834,235964,347202,9013000
BRR,BBR,323223,8614224,75553,467454,7955775,589771,9013000
BRR,BRB,4378784,4376131,258085,3892833,3888490,1231677,9013000
BRR,RBB,4378023,4376547,258430,3891728,3887177,1234095,9013000
BRR,BBB,7246470,1586330,180200,6934812,1015114,1063074,9013000
RBR,RRR,6370648,2496660,145692,5994052,1906049,1112899,9013000
RBR,BRR,3786314,5031015,195671,3817181,3983664,1212155,9013000
RBR,RRB,1115917,7779233,117850,1047891,7218532,746577,9013000
RBR,BBR,615920,8271941,125139,1021119,7141305,850576,9013000
RBR,BRB,4399500,4397920,215580,3661466,3659790,1691744,9013000
RBR,RBB,4378607,4376305,258088,3893078,3888159,1231763,9013000
RBR,BBB,6549379,2271302,192319,6258786,1511290,1242924,9013000
RRB,RRR,4582382,4250419,180199,3978164,3642398,1392438,9013000
RRB,BRR,17124,8991530,4346,235964,8429834,347202,9013000
RRB,RBR,7779233,1115917,117850,7218532,1047891,746577,9013000
RRB,BBR,4306802,4306826,399372,3690662,3690518,1631820,9013000
RRB,BRB,8271948,615763,125289,7141038,1020719,851243,9013000
RRB,RBB,8613857,323712,75431,7957629,466948,588423,9013000
RRB,BBB,8904794,84741,23465,8718073,75122,219805,9013000
BBR,RRR,8904137,85375,23488,8717651,75311,220038,9013000
BBR,BRR,8614224,323223,75553,7955775,467454,589771,9013000
BBR,RBR,8271941,615920,125139,7141305,1021119,850576,9013000
BBR,RRB,4306826,4306802,399372,3690518,3690662,1631820,9013000
BBR,BRB,7780180,1114148,118672,7219121,1047163,746716,9013000
BBR,RBB,17162,8991414,4424,236684,8430229,346087,9013000
BBR,BBB,4580513,4253246,179241,3976438,3645314,1391248,9013000
BRB,RRR,6550093,2270992,191915,6259150,1510674,1243176,9013000
BRB,BRR,4376131,4378784,258085,3888490,3892833,1231677,9013000
BRB,RBR,4397920,4399500,215580,3659790,3661466,1691744,9013000
BRB,RRB,615763,8271948,125289,1020719,7141038,851243,9013000
BRB,BBR,1114148,7780180,118672,1047163,7219121,746716,9013000
BRB,RBB,3787262,5029877,195861,3817681,3984226,1211093,9013000
BRB,BBB,6370494,2496193,146313,5992946,1906676,1113378,9013000
RBB,RRR,7247130,1585554,180316,6936616,1014377,1062007,9013000
RBB,BRR,4376547,4378023,258430,3887177,3891728,1234095,9013000
RBB,RBR,4376305,4378607,258088,3888159,3893078,1231763,9013000
RBB,RRB,323712,8613857,75431,466948,7957629,588423,9013000
RBB,BBR,8991414,17162,4424,8430229,236684,346087,9013000
RBB,BRB,5029877,3787262,195861,3984226,3817681,1211093,9013000
RBB,BBB,9012864,96,40,8966522,10190,36288,9013000
BBB,RRR,4378793,4373778,260429,2931675,2928917,3152408,9013000
BBB,BRR,1586330,7246470,180200,1015114,6934812,1063074,9013000
BBB,RBR,2271302,6549379,192319,1511290,6258786,1242924,9013000
BBB,RRB,84741,8904794,23465,75122,8718073,219805,9013000
BBB,BBR,4253246,4580513,179241,3645314,3976438,1391248,9013000
BBB,BRB,2496193,6370494,146313,1906676,5992946,1113378,9013000
BBB,RBB,96,9012864,40,10190,8966522,36288,9013000
