p1choice,p2choice,p1_win_cards,p2_win_cards,draw_cards,p1_win_tricks,p2_win_tricks,draw_tricks,times_run
RRR,BRR,0,0,0,0,0,0,0
RRR,RBR,0,0,0,0,0,0,0
RRR,RRB,0,0,0,0,0,0,0
RRR,BBR,0,0,0,0,0,0,0
RRR,BRB,0,0,0,0,0,0,0
RRR,RBB,0,0,0,0,0,0,0
RRR,BBB,0,0,0,0,0,0,0
BRR,RRR,0,0,0,0,0,0,0
BRR,RBR,0,0,0,0,0,0,0
BRR,RRB,0,0,0,0,0,0,0
BRR,BBR,0,0,0,0,0,0,0
BRR,BRB,0,0,0,0,0,0,0
BRR,RBB,0,0,0,0,0,0,0
BRR,BBB,0,0,0,0,0,0,0
RBR,RRR,0,0,0,0,0,0,0
RBR,BRR,0,0,0,0,0,0,0
RBR,RRB,0,0,0,0,0,0,0
RBR,BBR,0,0,0,0,0,0,0
RBR,BRB,0,0,0,0,0,0,0
RBR,RBB,0,0,0,0,0,0,0
RBR,BBB,0,0,0,0,0,0,0
RRB,RRR,0,0,0,0,0,0,0
RRB,BRR,0,0,0,0,0,0,0
RRB,RBR,0,0,0,0,0,0,0
RRB,BBR,0,0,0,0,0,0,0
RRB,BRB,0,0,0,0,0,0,0
RRB,RBB,0,0,0,0,0,0,0
RRB,BBB,0,0,0,0,0,0,0
BBR,RRR,0,0,0,0,0,0,0
BBR,BRR,0,0,0,0,0,0,0
BBR,RBR,0,0,0,0,0,0,0
BBR,RRB,0,0,0,0,0,0,0
BBR,BRB,0,0,0,0,0,0,0
BBR,RBB,0,0,0,0,0,0,0
BBR,BBB,0,0,0,0,0,0,0
BRB,RRR,0,0,0,0,0,0,0
BRB,BRR,0,0,0,0,0,0,0
BRB,RBR,0,0,0,0,0,0,0
BRB,RRB,0,0,0,0,0,0,0
BRB,BBR,0,0,0,0,0,0,0
BRB,RBB,0,0,0,0,0,0,0
BRB,BBB,0,0,0,0,0,0,0
RBB,RRR,0,0,0,0,0,0,0
RBB,BRR,0,0,0,0,0,0,0
RBB,RBR,0,0,0,0,0,0,0
RBB,RRB,0,0,0,0,0,0,0
RBB,BBR,0,0,0,0,0,0,0
RBB,BRB,0,0,0,0,0,0,0
RBB,BBB,0,0,0,0,0,0,0
BBB,RRR,0,0,0,0,0,0,0
BBB,BRR,0,0,0,0,0,0,0
BBB,RBR,0,0,0,0,0,0,0
BBB,RRB,0,0,0,0,0,0,0
BBB,BBR,0,0,0,0,0,0,0
BBB,BRB,0,0,0,0,0,0,0
BBB,RBB,0,0,0,0,0,0,0
