num_decks,random_seed,method,storage_bytes,memory_bytes,time_taken
1000,441,method_1_funct,8613,52000,0.023938
1000,441,method_1_funct,8613,52000,0.032550
1000,442,method_1_funct,8613,52000,0.018694
1000,443,method_1_funct,8590,52000,0.016654
1000,444,method_1_funct,8599,52000,0.018008
1000,445,method_1_funct,8580,52000,0.016377
10000,446,method_1_funct,82919,520000,0.146344
10000,447,method_1_funct,82859,520000,0.146661
10000,448,method_1_funct,82921,520000,0.147525
10000,449,method_1_funct,82874,520000,0.143558
10000,450,method_1_funct,82886,520000,0.150356
100000,451,method_1_funct,825852,5200000,1.539272
100000,452,method_1_funct,825527,5200000,2.709554
100000,453,method_1_funct,825851,5200000,2.799638
100000,454,method_1_funct,825773,5200000,2.671976
100000,455,method_1_funct,825690,5200000,2.410185
1000000,456,method_1_funct,8254355,52000000,28.872977
1000000,457,method_1_funct,8254205,52000000,28.147620
1000000,458,method_1_funct,8254377,52000000,27.813310
1000000,459,method_1_funct,8253730,52000000,30.455578
1000000,460,method_1_funct,8254327,52000000,31.119251
2000000,461,method_1_funct,16509283,104000000,59.534976
2000000,462,method_1_funct,16508430,104000000,58.260149
2000000,463,method_1_funct,16507932,104000000,60.418782
2000000,464,method_1_funct,16508238,104000000,56.299411
2000000,465,method_1_funct,16509309,104000000,57.284906
